"Action name","timestamp"
"Register","2021-05-22 12:47:01.53"
"addAddress","2021-05-22 12:47:01.537"
"addToCart","2021-05-22 12:47:01.537"
"getPriceOf","2021-05-22 12:47:01.538"
"addToCart","2021-05-22 12:47:01.554"
"addToCart","2021-05-22 12:47:01.554"
"removeFromCart","2021-05-22 12:47:01.559"
"setPortionsForDish","2021-05-22 12:47:01.576"
"addToCart","2021-05-22 12:47:01.576"
"getPriceOf","2021-05-22 12:47:01.576"
"finishOrder","2021-05-22 12:47:01.577"
"addDish","2021-05-22 12:47:01.577"
"addRestaurantToFavourites","2021-05-22 12:47:01.578"
"addToCart","2021-05-22 12:47:01.606"
"getPriceOf","2021-05-22 12:47:01.607"
"finishDelivery","2021-05-22 12:47:01.607"
"addDish","2021-05-22 12:47:01.609"
"removeFromCart","2021-05-22 12:47:01.61"
"leaveAReview","2021-05-22 12:47:01.611"
"verifyRestaurantInOrders","2021-05-22 12:47:01.612"
"addRestaurant","2021-05-22 12:47:01.613"
"addMenu","2021-05-22 12:47:01.615"
"addDish","2021-05-22 12:47:01.615"
"addCategory","2021-05-22 12:47:01.616"
"editNumberQuantity","2021-05-22 12:47:01.616"
"verifyIngredientInDish","2021-05-22 12:47:01.616"
"addIngredientToDish","2021-05-22 12:47:01.617"
"showDeliveriesToday","2021-05-22 12:47:01.617"
